timestamp,bpm,beat_phase,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
131368.158907,120.0,0.5916,0.21563,0.62083,0.26953,0.55972,0.30078,0.46667,0.30703,0.38056,0.29219,0.32222,0.25234,0.35694,0.25938,0.26389,0.26250,0.20417,0.26406,0.14861,0.21484,0.35139,0.21172,0.24861,0.21094,0.18056,0.21094,0.11944,0.18125,0.36806,0.17109,0.27222,0.16875,0.20972,0.16797,0.15556,0.14766,0.40139,0.12891,0.32500,0.11953,0.27361,0.11250,0.22222,0.32806,0.74767,0.9996,0.20027,1.00000,0.8275,0.21103,0.62468,0.7250,0.21345,0.66410,0.21563,0.62083,176.97,0.9836,live,0.6048,0.6630,671.72,1013.15
131368.225182,120.0,0.7238,0.22109,0.62778,0.27500,0.56528,0.30547,0.47361,0.31094,0.39028,0.29688,0.33056,0.25781,0.36389,0.26406,0.27083,0.26719,0.21250,0.26875,0.15694,0.22031,0.35833,0.21719,0.25556,0.21719,0.18750,0.21719,0.12639,0.18594,0.37500,0.17500,0.27917,0.17344,0.21667,0.17344,0.16111,0.15234,0.40972,0.13359,0.33333,0.12344,0.28194,0.11719,0.23056,0.32820,0.74154,0.9996,0.20013,1.00000,0.8424,0.21246,0.62532,0.7524,0.21498,0.65684,0.22109,0.62778,177.17,0.9863,live,0.6148,0.6606,673.26,1019.13
131368.293133,120.0,0.8591,0.22344,0.63472,0.27813,0.57222,0.30859,0.48056,0.31406,0.39722,0.30156,0.33750,0.26250,0.37083,0.26875,0.27778,0.27187,0.21944,0.27422,0.16389,0.22500,0.36528,0.22187,0.26250,0.22187,0.19583,0.22187,0.13472,0.18984,0.38194,0.17969,0.28750,0.17813,0.22500,0.17813,0.16944,0.15625,0.41667,0.13750,0.34028,0.12812,0.29028,0.12109,0.23889,0.32801,0.74631,0.9997,0.18520,1.00000,0.8528,0.21585,0.63891,0.7770,0.21667,0.65241,0.22344,0.63472,177.36,0.9858,live,0.5163,0.0676,69.27,1024.53
131368.358885,120.0,0.9891,0.22578,0.64167,0.28047,0.57778,0.31172,0.48750,0.31797,0.40278,0.30703,0.34306,0.26562,0.37778,0.27266,0.28472,0.27656,0.22639,0.27891,0.17083,0.22812,0.37222,0.22578,0.26944,0.22578,0.20139,0.22656,0.14028,0.19375,0.38889,0.18359,0.29306,0.18125,0.22917,0.18203,0.17361,0.15937,0.42222,0.14141,0.34722,0.13203,0.29583,0.12500,0.24444,0.32890,0.74907,0.9997,0.18534,1.00000,0.8657,0.22289,0.63933,0.7991,0.21849,0.65026,0.22578,0.64167,177.47,0.9851,live,0.4330,0.0535,55.04,1029.37
131368.425397,120.0,0.1202,0.22891,0.64583,0.28359,0.58333,0.31484,0.49167,0.32109,0.40972,0.31172,0.35000,0.26719,0.38194,0.27500,0.28889,0.27891,0.23056,0.28125,0.17500,0.22969,0.37639,0.22812,0.27361,0.22891,0.20556,0.22969,0.14444,0.19531,0.39306,0.18594,0.29583,0.18438,0.23333,0.18438,0.17778,0.16172,0.42778,0.14375,0.35139,0.13437,0.30000,0.12734,0.24722,0.32923,0.74916,0.9997,0.18385,1.00000,0.8759,0.22454,0.64200,0.8190,0.22058,0.64938,0.22891,0.64583,177.05,0.9863,live,0.3633,0.0457,47.22,1033.32
131368.493467,120.0,0.2594,0.23047,0.65278,0.28516,0.58889,0.31641,0.49722,0.32344,0.41528,0.31484,0.35417,0.26953,0.38611,0.27813,0.29306,0.28203,0.23472,0.28437,0.17917,0.23203,0.38056,0.23125,0.27778,0.23203,0.20972,0.23281,0.14861,0.19766,0.39722,0.18828,0.30000,0.18672,0.23611,0.18672,0.18194,0.16406,0.43194,0.14531,0.35556,0.13594,0.30417,0.12969,0.25139,0.32954,0.74826,0.9997,0.18488,1.00000,0.8853,0.22489,0.65825,0.8369,0.22255,0.65006,0.23047,0.65278,178.42,0.9870,live,0.3048,0.0385,40.00,1037.78
131368.558726,120.0,0.3867,0.23203,0.65556,0.28672,0.59306,0.31953,0.50278,0.32578,0.41944,0.31875,0.35694,0.27187,0.39028,0.28047,0.29583,0.28437,0.23750,0.28750,0.18194,0.23438,0.38472,0.23359,0.28194,0.23359,0.21250,0.23516,0.15139,0.20000,0.40139,0.19062,0.30417,0.18906,0.24167,0.18906,0.18611,0.16641,0.43472,0.14766,0.35972,0.13828,0.30833,0.13203,0.25556,0.33046,0.74676,0.9997,0.18500,1.00000,0.8933,0.22918,0.65818,0.8530,0.22445,0.65116,0.23203,0.65556,177.82,0.9864,live,0.2555,0.0305,31.77,1041.28
131368.630598,120.0,0.5317,0.23359,0.65833,0.28750,0.59583,0.32188,0.50556,0.32891,0.42222,0.32266,0.35833,0.27422,0.39167,0.28359,0.29861,0.28750,0.24028,0.29063,0.18472,0.23750,0.38611,0.23594,0.28333,0.23672,0.21528,0.23828,0.15278,0.20312,0.40278,0.19375,0.30556,0.19219,0.24306,0.19219,0.18750,0.16875,0.43611,0.15078,0.36111,0.14141,0.30972,0.13437,0.25694,0.33046,0.74676,0.9997,0.18425,1.00000,0.9003,0.22906,0.66822,0.8675,0.22628,0.65259,0.23359,0.65833,178.49,0.9878,live,0.2138,0.0240,25.12,1044.84
131368.692980,120.0,0.6565,0.23672,0.66111,0.29141,0.59722,0.32500,0.50833,0.33203,0.42500,0.32734,0.35972,0.27813,0.39444,0.28672,0.30139,0.29063,0.24306,0.29375,0.18750,0.24063,0.38889,0.23984,0.28611,0.23984,0.21806,0.24141,0.15556,0.20625,0.40556,0.19766,0.30833,0.19531,0.24583,0.19687,0.19028,0.17188,0.43889,0.15469,0.36389,0.14531,0.31250,0.13906,0.25972,0.33079,0.74464,0.9997,0.18436,1.00000,0.9090,0.23116,0.66794,0.8807,0.22837,0.65430,0.23672,0.66111,178.80,0.9855,live,0.1791,0.0208,21.84,1048.20
131368.758980,120.0,0.7871,0.23984,0.66389,0.29453,0.60139,0.32812,0.51250,0.33359,0.42917,0.33125,0.36250,0.28203,0.39861,0.29063,0.30556,0.29531,0.24722,0.29844,0.19167,0.24453,0.39306,0.24375,0.29028,0.24453,0.22222,0.24609,0.15972,0.20938,0.40972,0.20078,0.31250,0.19922,0.25000,0.20078,0.19444,0.17500,0.44444,0.15781,0.36806,0.14844,0.31667,0.14219,0.26389,0.32883,0.74527,0.9998,0.17242,1.00000,0.9142,0.23102,0.67686,0.8924,0.23066,0.65621,0.23984,0.66389,178.24,0.9875,live,0.1504,0.0198,20.78,1050.75
